=来龙去脉=,#genre#
02富国强军,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/8d9403ab95fa48f1b6f7f84ebfab6b3d/4000.m3u8
03强国脊梁,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/82722a5d2031403c94b15f31a62b2117/4000.m3u8

=寻找霸陵=,#genre#
01,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/4cb74d35b5a44510865c86c5f7661724/4000.m3u8
02,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/8121d7da27924285b2728aa737a5b98f/4000.m3u8
03,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/90933f0aa4cb4c8e9c9e626252333ef0/4000.m3u8

=仪征联营墓葬群发掘纪实=,#genre#
01,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/8e7ad87bded14f4cb8cc35a8dc61594f/4000.m3u8
02,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/51e7aa0a38174ffaa64ae47eb01dda75/4000.m3u8
03,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/d2c26632abca4fb69e3cd49cfdc54f57/4000.m3u8
04,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/a6df53398f464d48a26711c70bc21a57/4000.m3u8
05,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/ce0d80c199414886b42d7de7e98b7bda/4000.m3u8

=武王墩楚墓探秘=,#genre#
01惊艳出世 美器无伦,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/73be095d955e4d55a331bba5a6283f8b/4000.m3u8
02鼎立南国 暮光余晖,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/beacda6b18a74dc0b4e46c34e44a6017/4000.m3u8
03髹漆成器 溢彩千年,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/ebb419d29c8e4013ada0d38f67314b7d/4000.m3u8
04钟鸣鼎食 铸世铭史,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/4a6bd0b6a7dc4391b9c6e03314e91f7b/4000.m3u8
05家国社稷 吉金自名,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/080197c288ca4fb79874afbd4c524e4c/4000.m3u8
06沧桑铜绿 斑驳华彩,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/26ee0735113a44d696c55e4aa7406937/4000.m3u8
07炊爨五谷 以食为天,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/eacc3e1be9684b1695d2b792a5fdb2cc/4000.m3u8
08采璞琢器 玉汝于成,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/87381950788545e7b2d3702c79e4cfd3/4000.m3u8
09黄金百镒 惟楚为先,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/4f1d851882f0455da15056c7ba257c13/4000.m3u8
10事生为俑 荣华若世,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/ec746f2646c346d195e611dcfc1c89e6/4000.m3u8

=被毁的墓葬=,#genre#
01,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/853fd827adf840468f572f2b7cf1e3c1/4000.m3u8
02,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/420fbfa586a64f32850e2ed206acdca5/4000.m3u8
03,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/b9b5e496d14444a2b5c5f467b014921c/4000.m3u8
04,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/67c1f31e89be40b6bf69aa8f1da1d3bc/4000.m3u8
05,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/3a54308158d34aacaa8cf91c44cc16cb/4000.m3u8

=李约瑟和中国古代科技=,#genre#
01到中国去,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/86e5407d837548a0964dee652f59ab77/4000.m3u8
02先生之风,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/681b94936be843b1a7f8c7f25e549170/4000.m3u8
03文明高地,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/17edfdbc484a4825adacd6786db226d1/4000.m3u8
04神奇创造,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/eeb77d5f346f4d629f1a4c443e565c2e/4000.m3u8
05书写中国,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/bc71ef8e4a3845a6a9a4fed3406ca242/4000.m3u8
06人去留影,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/9a25d99fbcfd4b8ab459580ae32adc8f/4000.m3u8

=厨房里有哲学家=,#genre#
